Date,Description,Amount
2025-01-03,Netflix Monthly,-15.99
2025-01-05,Spotify Premium,-9.99
2025-01-07,Walmart Grocery,-87.43
2025-01-10,Shell Gas Station,-42.10
2025-01-12,Amazon Prime Monthly,-14.99
2025-01-15,Payroll Direct Deposit,3200.00
2025-01-15,AT&T Wireless,-85.00
2025-01-18,Starbucks Coffee,-6.75
2025-01-20,Gym Membership Planet Fitness,-24.99
2025-01-22,Chipotle Restaurant,-12.30
2025-01-25,Adobe Creative Cloud,-54.99
2025-01-28,Comcast Internet,-79.99
2025-01-30,Hulu Streaming,-17.99
2025-02-02,Netflix Monthly,-15.99
2025-02-04,Spotify Premium,-9.99
2025-02-06,Kroger Grocery,-63.21
2025-02-09,BP Gas Station,-38.50
2025-02-12,Amazon Prime Monthly,-14.99
2025-02-15,Payroll Direct Deposit,3200.00
2025-02-15,AT&T Wireless,-85.00
2025-02-17,Starbucks Coffee,-5.90
2025-02-19,Gym Membership Planet Fitness,-24.99
2025-02-21,McDonald's Restaurant,-9.45
2025-02-24,Adobe Creative Cloud,-54.99
2025-02-27,Comcast Internet,-79.99
2025-02-28,Hulu Streaming,-17.99
2025-03-01,Netflix Monthly,-15.99
2025-03-03,Spotify Premium,-9.99
2025-03-05,Walmart Grocery,-92.15
2025-03-08,Chevron Gas Station,-45.00
2025-03-11,Amazon Prime Monthly,-14.99
2025-03-15,Payroll Direct Deposit,3200.00
2025-03-15,AT&T Wireless,-85.00
2025-03-16,Target Shopping,-67.82
2025-03-18,Starbucks Coffee,-7.10
2025-03-20,Gym Membership Planet Fitness,-24.99
2025-03-22,Uber Eats Delivery,-28.43
2025-03-25,Adobe Creative Cloud,-54.99
2025-03-27,Comcast Internet,-79.99
2025-03-29,Hulu Streaming,-17.99
2025-03-30,Disney Plus Monthly,-13.99
2025-04-01,Netflix Monthly,-15.99
2025-04-03,Spotify Premium,-9.99
2025-04-05,Costco Grocery,-134.56
2025-04-08,Shell Gas Station,-40.25
2025-04-10,Amazon Prime Monthly,-14.99
2025-04-15,Payroll Direct Deposit,3200.00
2025-04-15,AT&T Wireless,-85.00
2025-04-17,Doordash Delivery,-22.15
2025-04-20,Gym Membership Planet Fitness,-24.99
2025-04-23,Adobe Creative Cloud,-54.99
2025-04-25,Comcast Internet,-79.99
2025-04-28,Hulu Streaming,-17.99
2025-04-29,Disney Plus Monthly,-13.99
